
CLASS NAME, CLASS DESIGNATION, CLASS NUMBER, CLASS COMMISSION, OFFICERS, CREW, DRIVE SYSTEM_IMPULSE, DRIVE SYSTEM_WARP, PHASERS, TORPEDOES, CLASS H TRAVEL POD, LENGTH_m, BREADTH_m, HEIGHT_m, MASS (DEADWEIGHT)_KMT

SALADIN , DESTROYER, 1, 2251 , 20, 180, FID-2 (0.75C), FWF-I / SINGLE / ((WF 5/7), 3 BANKS/2 EACH TYPE FH-3 , 2 BANKS TYPE FP-I,  2, 242, 127, 60, 95 
COCHISE, TORPEDO DESTROYER, 1,  2253 , 20, 180, FID-2 (0.75C), FWF-I TANDEM (WF 6/8), 4 BANKS/2 EACH TYPE FH-3, 1 BANKS TYPE FP-I / 2 BANKS TYPE FP-3, 2, 234, 127, 6O, 145
HERMES , SCOUT, 1, 2250 , 20, 175 , FID-2 (0.75C), FWF-I SINGLE (WF 5/7), 1 BANKS/2 EACH TYPE FH-3, NA,  2, 242, 127, 6O, 95
CAPELLA , SURVEYOR,  1, 2249, 20, 60,  FID-2 (0.75C), FWF-IS TANDEM (WF 5/7), 1 BANKS/2 EACH TYPE FH-3, NA, 2 / CLASS F: 2 / HF : 1 / AF: 1, 218, 98, 55, 98
HELLESPONT , FAST DESTROYER, 1 , 2263 , 22, 45, FID-2 (0.75C), FWF-IS TRIPLE (WF 6/8), 4 BANKS/2 EACH TYPE FH-3, 1 BANKS TYPE FP-1, 2,195,95,68, 8S
LARSON ‘STARSHIP’ ,HEAVY DESTROYER,  1 , 2248, 25, 180, FID-2 (0.75C), FWF-I SINGLE (WF 5/7), 3 BANKS/2 EACH TYPE FH-3, 1 BANK TYPE FP-I, 2, 276, 132, 84, 115
ANTON ‘STARSHIP’, HEAVY FRIGATE, 1, 2246, 43, 215, FID-2 (0.75C), FWF-I TANDEM (WF 6/8), 3 BANKS/2 EACH TYPE FH-3, 1 BANK TYPE FP-I, 2 / CLASS F: 2 / CLASS HF: 1 / CLASS AF: 1 , 242, 155, 56, 160
TAURUS ‘STARSHIP’, CRUISER, 1, 2252, 43, 212, FID-2 (0.75C), FWF-I TANDEM (WF 6/8), 4 BANKS/2 EACH TYPE FH-3, 1 BANK TYPE FP-1, 2 /CLASS F: 4/ HF: 2/ AF : 2, 276, 127, 61, 172
LOKNAR,  FRIGATE, 1, 2259, 32, 145, FID-2 (0.75C), FWF-I TANDEM (WF 6/8), 3 BANKS/2 EACH TYPE FH-3, 1 BANK TYPE FP-I, 2 , 288, 127, 76, 142
CONSTITUTION ‘STARSHIP’, HEAVY CRUISER, 1, 2245, 43, 387, FID-2 (0.75C), FWF-I TANDEM (WF 6/8), 3 BANKS/2 EACH TYPE FH-3, 2 BANKS TYPE FP-I, 2 / CLASS F : 4 / HF : 2 / AF : 2, 290, 127, 73, 190
DECATUR ‘STARSHIP’, CRUISER, 1, 2253, 36, 320 , FID-2 (0.75C), FWF-I TANDEM (WF 6/78), 3 BANKS/2 EACH TYPE FH-3, 2 BANKS TYPE FP-I, 2 /CLASS F : 2 /HF: 1 / AF: 1, 271, 124, 82, 172
SURYA ‘STARSHIP’, ESCORT FRIGATE, 1 ,2251, 32, 195, FID-2 (0.75C), FWF-I TANDEM (WF 6/8), 4 BANKS/2 EACH TYPE FH-3, 1 BANKS TYPE FP-I, 2 /CLASS F: 2 / HF: 1/ AF: 1, 236, 136, 60, 55
MIRANDA ‘STARSHIP’, HEAVY FRIGATE, 1, 2253, 32, 195, FID-2 (0.75C), FWF-I TANDEM (WF 6/8), 6 BANKS/2 EACH TYPE FH-3, 1 BANKS TYPE FP-I / 2 BANKS TYPE FP-3 , 2 / CLASS F: 2/ HF: 1/ AF: 1, 236, 136, 63, 162
MACKENZIE, LIGHT FRIGATE, 1, 2249, 25, 85, FID-2 (0.75C), FWF-IS TANDEM (WF 5/7), 3 BANKS/2 EACH TYPE FH-3, 1 BANK TYPE FP-I, 2 /CLASS F : 2 , 218, 98, 52, 98

