
NCC_number, name, class, type
1300, Baton_Rouge, Baton_Rouge, cruiser
1301, Moscow, Baton_Rouge, cruiser
1302, Peking, Baton_Rouge, cruiser
1303, Brittania, Baton_Rouge, cruiser
1304, Los_Angeles, Baton_Rouge, cruiser
1305, Yamato, Baton_Rouge, cruiser
1306, Hokkaido, Baton_Rouge, cruiser
1307, Savannah, Baton_Rouge, cruiser
1308, Tehran, Baton_Rouge, cruiser
1309, Petersburg, Baton_Rouge, cruiser
1360, Marseilles, Baton_Rouge, cruiser
1361, Devonshire, Baton_Rouge, cruiser
1362, Sydney, Baton_Rouge, cruiser
1363, Vladivostok, Baton_Rouge, cruiser
1364, Cairo, Baton_Rouge, cruiser
1365, Tipton, Baton_Rouge, cruiser
1366, Arcadia, Baton_Rouge, cruiser
1367, Tripoli, Baton_Rouge, cruiser
1368, Union, Baton_Rouge, cruiser
1369, Lafayette, Baton_Rouge, cruiser
1370, Commonwealth, Baton_Rouge, cruiser
1371, Republic, Baton_Rouge, cruiser
1372, Democracy, Baton_Rouge, cruiser
1373, Liberty, Baton_Rouge, cruiser
1374, Chauncey, Baton_Rouge, cruiser
1425, Nordenskjold, nodensk jold, research_cruiser
1426, Cartier, nodensk jold, research_cruiser
1427, Barentis, nodensk jold, research_cruiser
1428, Amundson, nodensk jold, research_cruiser
1429, Baffin, nodensk jold, research_cruiser
500, Saladin, saladin, destroyer
501, Jenghiz, saladin, destroyer
502, Darius, saladin, destroyer
503, Alaric, saladin, destroyer
504, Sargon, saladin, destroyer
505, Xerxes, saladin, destroyer
506, Pompey, saladin, destroyer
507, Kublai, saladin, destroyer
508, Suleiman, saladin, destroyer
509, Etzel, saladin, destroyer
510, Tamerlane, saladin, destroyer
511, Alexander, saladin, destroyer
512, Hannibal, saladin, destroyer
513, Ahriman, saladin, destroyer
514, Rahman, saladin, destroyer
515, Adad, saladin, destroyer
516, Hashishyun, saladin, destroyer
517, Azrael, saladin, destroyer
518, Hamilcar, saladin, destroyer
519, Shaitan, saladin, destroyer
585, Herme, hermes, scout
586, Anubis, hermes, scout
587, Echo, hermes, scout
588, Aeolus, hermes, scout
589, Diana, hermes, scout
590, Quinillus, hermes, scout
591, Bridger, hermes, scout
592, Carson, hermes, scout
593, Batidor, hermes, scout
594, Cody, hermes, scout
595, Revere, hermes, scout
596, Spaker, hermes, scout
597, Bowie, hermes, scout
598, Sacajawea, hermes, scout
599, Tonti, hermes, scout
700, Capella, capella, surveyor
701, Argonne, capella, surveyor
702, Beagle, capella, surveyor
703, Lloyds, capella, surveyor
704, Oregon, capella, surveyor
705, Roebuck, capella, surveyor
706, Gleaner, capella, surveyor
707, Darshak, capella, surveyor
708, Dowditch, capella, surveyor
709, Dals, capella, surveyor
710, Parizeau, capella, surveyor
711, Friberga, capella, surveyor
712, Ability, capella, surveyor
713, Mercury, capella, surveyor
714, Gratia, capella, surveyor
715, Castor, capella, surveyor
716, Bellatrix, capella, surveyor
717, Antares, capella, surveyor
718, Saturn, capella, surveyor
719, Beaufort, capella, surveyor
NAR_1324, Haskins, capella, surveyor
NAR_1325, Lormer, capella, surveyor
NAR_1326, Marianas, capella, surveyor
NAR_1327, Typhon, capella, surveyor
NAR_1328, Leilei, capella, surveyor
NAR_1329, Purdue, capella, surveyor
800, Ptolemy, ptolemy,transport_tug
