

class name, type, subclasses

Abbe, PT Destroyer , NA 
Catchon, Interceptor,NA
Adamant, Dreadnought (Prototype) ,NA
Cautious, Minesweeper,NA
Adjudicator, Multi-Response Cruiser ,NA
Centaur, Frigate,NA
Advance, Through-Deck Cruiser ,NA
Chandley, Heavy Frigate,NA
AgIIis, Perimeter Action Ship ,NA
Chang Ho, Tactical Cruiser,NA
Akira, Battlecruiser ,NA
Charger, Destroyer,NA
Akyazi, Perimeter Action Ship, Ak-yazi/ Arbiter/ Akula
Cheetah, Fast Cruiser,NA
Cheyenne, Exploratory Cruiser,NA
Alaric, Heavy Destroyer ,NA
Chosin, Attack Carrier, NA
Alaska, Battlecruiser ,NA
Clarke, Clipper,NA
Almeida, Heavy Cruiser/ Freighter ,NA
Clausewitz, Command Cruiser,NA
Ambassador, Heavy Cruiser ,NA
Clemenceau, Through-Deck Cruiser,NA
Amchitka, Light Cruiser ,NA
Comanche, Assault Frigate,NA
Amerind, Scout ,NA
Conquest, Dreadnought,NA
Anaxagoras, Transport/ Tug ,NA
Constellation, Cruiser,NA
Andernach, Battlecruiser ,NA
Constitution, Heavy Cruiser , Constitution/ Bonhomme Richard / Achernar/ Endeavor/ Constitution (II) / Enterprise / Tiko-pal / Enterprise (II)
Anderson, Heavy Scout ,NA
Anqueira, Hospital Ship ,NA
Anubis, Scout ,NA
Apache, Cruiser ,NA
Coronado, Through-Deck Cruiser,NA
Arcadia, Exploratory Cruiser ,NA
Coventry, Frigate,NA
Archangel, Shuttlecarrier ,NA
Crusader, Patrol Cruiser,NA
Archon, Cruiser ,NA
Curnow, Tactical Cruiser,NA
Ariel, Shuttlecarrier ,NA
Cyane, Heavw Frigate,NA
Ark Royal, Frigate ,NA
Daedelus, Cruiser,NA
Artemis, Fast Cruiser ,NA
Dahlgren, Strike Cruiser,NA
Ascension, Dreadnought,NA 
Dakota, Heavy Shuttlecarrier,NA
Asmodeus, Light Corvette ,NA
Danube, Runabout,NA
Athabaska, Exploratory Cruiser ,NA
Daran, Fast Frigate,NA
Austin, Superscout ,NA
Daring, Corvette,NA
Australia, Battlecruiser ,NA
Darwin, Scout,NA
Avenger, Heavy Frigate, Avenger / Endurance
Davenport, Corvette (Prototype),NA
Defender, Destroyer,NA
Bader, Scout ,NA
Defiant, Escort,NA
Baker, Heavy Destroyer ,NA
Deliverer, Container Tug,NA
Balclutha, Corvette ,NA
Delphis, Exploration Cruiser , Delphis / Delphis (II)
Balson, Command Ship ,NA
Banting, Cruiser ,NA
Deneva, Freighter,NA
Belisarius, Tactical Cruiser ,NA
Deoradh, Fast Frigate,NA
Belknap, Strike Cruiser ,NA
Detroyat, Heavy Destroyer,NA
Bering, Automated Fuel Transport ,NA
Discovery, Scout,NA
Benning, Frigate ,NA
Dupleix, Perimeter Action Ship (Prototype),NA
Bradbury, Diplomatic Courier ,NA
Durance, Cargo/ Tug,NA
Burke, Frigate ,NA
Durrett, Light Cruiser,NA
Byrd, Exploratory Cruiser ,NA
Edinburgh, Space Control Ship,NA
