
UFP order, catalogue name, planetary classification, indogenous name,  primary star, galactic coordinates
1, Earth (Terra), M, Earth,Sol, "(23.9, 61.8, 0.0)"
2, Vulcan, M, T'Khasi, 40 Eridani A, "(19.5,60.0,-0.60)"
3, Tellar, M, Miracht, 61 Cygni, "(25.0,60.1,2.6)"
4, Andor, M, Fesoan, Epsilon Indi, "(25.8,60.1,-2.4)"
5, Alpha Centauri VII (Centaurian), M, Al Rijil, Alpha Centuari, "(24.6,62.5,-1.0)"
6, Alpha III, L, Kericindal, Alpha, "(28.5,52.8,19.0)"
7, Vega IX, M, Kesir-Tosharra, Vega, "(28.2, 61.3, 6.9)"
8, Deneb II/ IV/ V, M, Kreta/ Kidta/ Kelta, Deneb A, "(142.7,-143.4,382.5)"
9, Marcos XII, L,None, Marcos, "(26.9,82.8,-2.2)"
10, Izar, M, None, Epsilon Bootis, "(36.7,84.7,17.6)"
11, Rigel II/ IV/ VIII, M, None, Rigel, "(-209.9, 7.7, -136.0)"
12, Cait, M, Ferasa, 15 Lyncis, "(41.9, -228.3, -12.6)"
13, Antos IV, M, Dorafane, Antos, "(18.1,-20.4,-6.1)"
14, Catulla, M, Cendo-Prae, Theta Pictoris, "(277.6, -73.7, -13.9)"
15, Tiburon, M, Simeran, Omega Fornacis A, "(-121.9, -209.4, 236.4)"
16, Merak II, M, None, Merak, "(11.2, 72.7, 17.1)"
17, Aldebaran, M, None, Alpha Tauri, "(10.6, 56.5, -15.1)"
18, Mu Leonis II, M, Ardana, Mu Leonis A, "(8.5, 106.3, 9.8)"
19, Argelius II, M, Nelphia, Argelius B, "(-154.7, -59.2, -121.2)"
"()"
