
CLASS , CLASSIFICATION_CODE

Vereleus, DR 
Shuttle (warp), WS
Tanker, TA 
Tender ,IN 
Transport ,TL
Tug, TG 
D’deridex, WBH 
Ralek ,SB
D’sera, WBL 
T'rasus ,SB
D’valek, WBSW 
V’tana , SBF
D'vanga, WBH 
Vidian, SBH
T’korex, WB
T’varo, WBSW 
T’kairin (proposed) ,SB-GC 
V‘tir ,WB
T'kassan (proposed), WBST

Ak’tel , CA 
Brentoc , FR
D'viret , CL 
D’tavan , FS
Meret ,CI 
D’theros,  FL
Nelvek, CH 
D'virin ,FI
Prelar , CSW 
Melek’aan, FR
Shar’ves ,CA 
Serex, FH
Vercaal , CL 
Thalan , FSW


D‘gerok ,GA 
Cho‘chet, SS
Hoteb ,GA 
Deresus , SH
Nuur’shet , GH
Kelkarrum , SS
Vadak , GH 
Nir‘at , SH
V’gurin ,GS 
Tirethi, SF
