
quadrant, name, class, official name, political system, UFP_member, capitals, dominant species, population, warp capable, notes

Alpha, Earth (Sol III), M, United Earth, UFP, 2161, San Francisco/ Paris/ Kyoto/ Lima, Human/ Cetacean, 4.2 billion humans/ 1million Cetaceans, 2063, Starfleet HQ/ Academy/ Cochrane Memorial
Alpha, Mars (Sol IV), K, United Martian Colonies, UFP, 2161, Tycho City, Human, 50.2 million, NA, Apollo 11 in 1969 landing
Alpha, Terra Nova (Eta Cassiopeia III), M, Terra Nova Colony, UFP, 2178, Logan City, Human, 347000, NA, 1st contact 2151/ landing SS Conestaga in 2087
Alpha, Izar (Episilon Bootis III), M, Izar Colony, UFP, 2183, New Seattle, Human, 185e6, NA, Starfleet Tactical School
Alpha, Delta (Delta IV), M, Deltan Union, UFP, 2223, NA, Human, 3.8e9, 2223, restricted Detan moons Seyyan & Cinera 
Alpha, Deneb V (Deneb Kaitos V), M, Commonwealth of Denebia, UFP, 2259, Port Drexxler, Human, 11.2e9, 2259, Federation Academy of Sciences
Alpha, Betazed (Beta Zeta V), M, Fifth House of Betazed, UFP, 2273, Rixx, Human, 1.3e9, Antiquity, University of Betazed/ Janaran Falls
Alpha, Trill (Trillius Prime), M, Trill Symbiosis, UFP, 2285, Mak'ala, Human Trill & Symbiont, 650e6 Trill/ 11e6 Symbionts, Antiquity, Hoobishan baths/ Tenarian Ice Cliffs
Alpha, Capella (Alpha Aurigae IV), M, Ten Tribes of Capella, UFP, 2267, NA, Human, 160e3, NA, tomb of Leonard James Akaar
Alpha, Neural (Zeta Bootis III), M, NA, UFP, 2268, Kahn-ut-tu, Human, 27.3e6, NA, Peace Bridge 
Alpha, Deneb IV (Alpha Leonis IV), M, Bandi, UFP, 2364, Farpoint, Human, 450e6, NA, Farpoint Station 
Alpha, Bajor (B'hava'el VII), M, Third Republic of Bajor, UFP, 2374, Dahkur Sahving, Human, 3.8e9, 2328, Calash Retreat/ Dakeen Monastary/ Kendra Valley/ Fire Caves
Alpha, Talos IV (Talos Star Group), M, NA, Nonaligned, NA, NA, Human,NA,500e3 years ago, 1st contact by SS Columbia in 2236
Alpha, Sigma Draconis VI, M, Congress of Morg and Eymorg, 2268, Nonaligned, NA, Human, 1.3e6, NA, 2nd contact by USS Enterprise in 2268
Alpha, Tholia, Y, Tholian Assembly, NA, 2271, NA, Tholian (non-human), NA, NA, 1st contact by USS Enterprise in 2269
Alpha, Ferenginar, M, Ferengi Commerce Authority, Ferengi Alliance, NA, Ferenginar, Human, 78.2e9, Antiquity, Sacred Marketplace/ Tower of Commerce / 1st contact USS Enterprise in 2364
Alpha, Cardassia Prime (Cardassia VI), M, Cardassian Union, Nonaligned, NA, Lakat, Human, 7.9e9, 1925, University of Culat/ Imperial Plaza/ Lakarian Amusement Park 
Alpha, Breen, P, Breen Confederacy, Nonaligned, NA, NA, Human, NA, NA, aligned with Dominion & attacked Earth during Dominion War 
Alpha, Tamar, M, Children of Tamar, Nonaligned, 2368, NA, Human, NA, 2050, 1st contact: Dathon and USS Enterprise in 2368
